"Year","sst_raw","sst_anomaly","Stock.ID"
2011,11.8753448895046,0.0112172750455225,103
2012,11.7948833874294,-0.0692442270296851,103
2013,12.2269774164472,0.362849801988176,103
2014,12.3743355614798,0.510207947020791,103
2015,13.3534326212747,1.48930500681562,103
2016,13.3851080281394,1.52098041368034,103
1950,10.4996659415109,-1.36446167294816,104
1951,11.1057878562382,-0.758339758220828,104
1952,11.2297064917428,-0.634421122716244,104
1953,11.7735470363072,-0.0905805781518507,104
1954,11.2220627239772,-0.642064890481827,104
1955,10.8908667564392,-0.973260858019848,104
1956,11.8710631643023,0.00693554984322236,104
1957,12.3478749820164,0.483747367557371,104
1958,13.2306014469692,1.36647383251011,104
1959,11.9623036384583,0.0981760239992037,104
1960,11.8328381947109,-0.031289419748174,104
1961,12.305883373533,0.44175575907392,104
1962,11.8123912811279,-0.0517363333311299,104
