"year","sst.winter.djfm","sst.spring.am","sst.summer.jja","pdo.winter.djfm","pdo.spring.am","pdo.summer.jja","npgo.winter.djfm","npgo.spring.am","npgo.summer.jja"
2002,-0.32710084500327,0.307578253310768,0.436433258935459,-0.4325,-0.475,-0.02,1.989818375,0.99999758,1.26651045
2003,0.651572994023961,0.517058422997172,0.519464911848408,1.8625,1.035,0.84,1.772251845,1.01049025,0.920806753333333
2004,0.0709911344570127,0.483651540060868,1.06862554695851,0.4625,0.725,0.443333333333333,0.3848884225,0.16630129,0.624475453333333
2005,0.584549935110991,1.01974562254641,1.20169328777457,0.61,1.445,0.693333333333333,-1.4062472125,-1.23818757,-1.35941276666667
2006,0.2082751456476,-0.179400790714827,0.140572266157031,0.485,0.44,0.246666666666667,-0.9196944275,-0.34428245,-0.331192696666667
2007,-0.295876626450507,-0.5242430778001,-0.0048937985272884,-0.0425,0.03,0.456666666666667,-0.313161895,0.47600138,1.30044133333333
2008,-0.524587672864449,-0.729664420974948,-0.31133012625926,-0.765,-1.445,-1.57,0.8810322775,1.56711445,1.6166405
2009,-0.446069267307771,-0.282268401602875,0.10656134577693,-1.3525,-1.265,-0.25,0.603106815,0.485590045,0.549473033333333
2010,-0.0239337389275496,-0.235309844560666,-0.409925511377222,0.5425,0.7,-0.846666666666667,1.65457805,1.5222716,1.15417283333333
2011,-0.0467599632221256,-0.0181167617728922,-0.0847331451528767,-0.9125,-0.395,-1.43,0.71353827,0.99538032,1.06160353333333
2012,-0.5131906467916,-0.673724659899842,-0.708665285676613,-1.2675,-0.765,-1.44,0.736317105,1.77674905,1.84299
2013,-0.20954894469232,0.225233063479294,0.838393027866531,-0.4175,-0.04,-1.02333333333333,1.0692880925,0.66428711,0.57984965
2014,0.991341807980829,1.23179576895276,1.7851736256689,0.31,1.465,0.73,-0.640486945,-0.19507554,-0.36519975
2015,1.25554833772818,1.24290826277122,1.37923052673368,2.315,1.32,1.64666666666667,-0.8940460925,-1.049449995,-1.55052453333333
2016,0.750675003450425,1.11607875780448,1.66533710163029,1.6725,2.485,1.26666666666667,0.1330926675,-0.541312245,-0.662988316666667
